Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Algeria,0.8,1.1,1,0.9,0.9,1,1.1,1.3,1.4,1.6,1.7,1.8,1,0
Argentina,0,0,0,0,0,0,0,0,1.91767363,1.986257922,1.839786696,1.89651182,0,0
Aruba,0,0,0,0,0,19.9,21.1,21.6,21.2,21.2,0,0,0,0
Australia,2.903126316,2.82243253,2.692323691,2.72321381,2.834172254,2.853001726,2.952741475,3.084574833,3.062835024,3.103490382,3.096198371,2.410189389,1.33626928,1.580346211
Austria,5.195653623,5.120960957,5.439173241,5.43437113,5.404633816,5.387035692,5.392398661,5.340893899,5.336438302,5.379477953,5.450972046,5.587412351,3.529468585,3.029668842
Azerbaijan,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0
Bahamas,0,0,0,0,15.2,0,0,0,0,0,0,0,0,0
Bahrain,0,0,0,0,0,0,0,0,0,7.325093964,6.129360948,6.554988665,1.396305415,0
Belarus,0,0,0,0,0,0,1.784615324,0,2.23040685,0,2.497555198,0,1.420369895,0
Belgium,0,0,0,0,0,0,0,0,2.181686158,0,0,1.855004474,0,0
Bermuda,4.9,4.3,5.2,5.7,5.2,5,4.6,4.2,4.7,4.8,5.3,5.1,1.8,2.2
Bhutan,0,0,0,0,0,0,0,0,0,0,0,9.521374883,0,0
Botswana,0,3.7,0,0,0,0,0,0,4.9,0,0,0,0,0
Brunei Darussalam,0,0,0.81,0.65,0.62,0.66,0.65,0.78,0.83,0,0,0,0,0
Canada,1.910684257,1.918498038,1.919760059,1.906874228,1.922554113,1.888177426,1.885742861,2.022873589,2.082282887,2.078699133,2.090210183,2.090092946,1,1
Chile,3.249276166,3.319000977,3.246202605,3.156639078,3.4547132,3.136377107,3.104830778,3.398148391,3.642290623,3.540349532,3.295953289,3.313924545,0,0
"China, Hong Kong Special Administrative Region",2.756187482,3.224146549,4.297040949,4.533933872,4.698589075,5.046375194,5.099562382,5.004000267,4.650110113,4.478268574,4.462326262,3.598704169,0.358142748,0
"China, Macao Special Administrative Region",0,0,54.05065378,57.88294141,57.78315482,58.58459149,54.96810299,46.53082004,45.54184181,48.33944404,50.51293697,50.67567318,21.07629636,0
