Countries,Total arrivals(in thousands) 2010,Total arrivals(in thousands) 2011,Total arrivals(in thousands) 2012,Total arrivals(in thousands) 2013,Total arrivals(in thousands) 2014,Total arrivals(in thousands) 2015,Total arrivals(in thousands) 2016,Total arrivals(in thousands) 2017,Total arrivals(in thousands) 2018,Total arrivals(in thousands) 2019,Total arrivals(in thousands) 2020,Total arrivals(in thousands) 2021
Afghanistan,..,..,..,..,..,..,..,..,..,..,..,..
Albania,2417,2932,3514,3256,3673,4131,4736,5118,5927,6406,2658,5689
Algeria,2070,2395,2634,2733,2301,1710,2039,2451,2657,2371,591,125
American Samoa,40.3,41.3,50.2,49.3,51.6,47.1,38.3,42.3,51.8,58.6,..,..
Andorra,8551,7983,7900,7676,7797,7850,8025,8152,8328,8235,5207,5422
Angola,..,..,..,..,..,..,..,..,..,..,..,..
Anguilla,118,124,129,151,177,186,176,151,87,166,41,29
Antigua And Barbuda,788,848,819,777,771,894,874,1040,1064,1035,276,250
Argentina,..,..,..,..,..,..,9986,9964,10394,11131,3096,460
Armenia,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,1394,1469,1481,1667,1739,1832,1758,1863,1897,1951,368,807
Australia,5790,5771,6032,6482,6922,7449,8269,8815,9246,9466,1828,246
Austria,..,..,..,..,..,..,..,..,..,..,..,..
Azerbaijan,1963,2239,2484,2509,2298,2006,2249,2697,2850,3170,796,792
Bahamas,5255,5588,5940,6151,6320,6112,6265,6136,6622,7250,1795,2101
Bahrain,11952,6732,8062,9163,10452,9670,10158,11374,12045,11061,1909,3612
Bangladesh,..,..,..,..,..,..,..,..,..,..,..,..
Barbados,1197,1187,1053,1079,1079,1179,1227,1345,1356,966,546,..
Belarus,5674,5877,6130,6242,5375,4386,10935,11060,11502,11832,3598,3361
Belgium,..,..,..,..,..,..,..,..,..,..,..,..
Belize,1054,1106,1028,1022,1289,1299,1391,1441,1697,1674,487,437
Benin,..,222,232,252,265,279,292,307,322,337,354,..
Bermuda,580,652,610,576,580,597,642,688,766,805,51,85
Bhutan,..,..,..,..,..,..,..,..,..,..,..,..
"Bolivia, Plurinational State Of",..,..,..,..,..,..,..,..,..,..,..,..
Bonaire,297,..,..,..,..,..,..,..,..,..,..,..
Bosnia And Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..
"Botswana",..,..,..,..,..,1660,1712,1775,1830,..,358,..
Brazil,..,..,..,..,..,..,..,..,..,..,..,..
British Virgin Islands,842,831,753,742,773,922,1124,..,..,895,..,..
Brunei Darussalam,..,..,..,..,..,..,4257,4316,4521,4449,1071,110
Bulgaria,8374,8713,8867,9192,9409,9317,10604,11596,12368,12552,4973,7188
Burkina Faso,..,..,..,..,..,..,..,..,..,..,..,..
