Country,Total departures(in thousands) 2010,Total departures(in thousands) 2011,Total departures(in thousands) 2012,Total departures(in thousands) 2013,Total departures(in thousands) 2014,Total departures(in thousands) 2015,Total departures(in thousands) 2016,Total departures(in thousands) 2017,Total departures(in thousands) 2018,Total departures(in thousands) 2019,Total departures(in thousands) 2020,Total departures(in thousands) 2021
Afghanistan,..,..,..,..,..,..,..,..,..,..,..,..
Albania,3443,4120,3959,3928,4146,4504,4852,5186,5415,5922,2907,4191
Algeria,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,..,..,..,..,..,..,..,..,..,..,..,..
Angola,..,..,..,..,..,..,..,..,..,..,..,..
Anguilla,..,..,..,..,..,..,..,..,..,..,..,..
Antigua And Barbuda,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,6083,7676,8295,9844,10022,13159,18645,21583,18411,15352,4087,1074
Armenia,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,..,..,..,..,..,..,..,..,..,..,..,..
Australia,7103,7788,8212,9052,9480,9810,10390,10932,11403,11624,2832,301
Austria,..,..,..,..,..,..,..,..,..,..,..,..
Azerbaijan,3176,3550,3874,4285,4244,4096,4282,4109,4908,5568,1165,975
Bahamas,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,..,..,..,..,..,4741,3293,3136,2868,2950,752,..
Bangladesh,..,..,..,..,..,..,..,..,..,..,..,..
Barbados,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,7464,7542,8427,8841,7236,6972,8340,9209,9326,9221,2810,2616
Belgium,..,..,..,..,..,..,..,19328,21127,23721,10208,10890
Belize,..,..,..,..,..,..,..,..,..,..,..,..
Benin,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,..,..,..,..,..,..,..,..,..,72,..,..
"Bolivia, Plurinational State Of",..,..,..,..,..,..,..,..,..,..,..,..
Bonaire,..,..,..,..,..,..,..,..,..,..,..,..
Bosnia And Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..
Botswana,..,..,..,..,..,..,..,..,..,..,..,..
