Country,Accomodation 2010,F&B 2010,Passenger transport 2010,Travel agencies 2010,Others 2010,Accomodation 2011,F&B 2011,Passenger transport 2011,Travel agencies 2011,Others 2011,Accomodation 2012,F&B 2012,Passenger transport 2012,Travel agencies 2012,Others 2012,Accomodation 2013,F&B 2013,Passenger transport 2013,Travel agencies 2013,Others 2013,Accomodation 2014,F&B 2014,Passenger transport 2014,Travel agencies 2014,Others 2014,Accomodation 2015,F&B 2015,Passenger transport 2015,Travel agencies 2015,Others 2015,Accomodation 2016,F&B 2016,Passenger transport 2016,Travel agencies 2016,Others 2016,Accomodation 2017,F&B 2017,Passenger transport 2017,Travel agencies 2017,Others 2017,Accomodation 2018,F&B 2018,Passenger transport 2018,Travel agencies 2018,Others 2018,Accomodation 2019,F&B 2019,Passenger transport 2019,Travel agencies 2019,Others 2019,Accomodation 2020,F&B 2020,Passenger transport 2020,Travel agencies 2020,Others 2020,Accomodation 2021,F&B 2021,Passenger transport 2021,Travel agencies 2021,Others 2021
Afghanistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,11.9,..,5.9,4.2,..,13.3,..,5.1,4.3,..,14.7,..,5.9,0.8,..,18,..,6.4,0.9,..,19.4,..,6.2,1.1,..,21.8,..,6.2,1,..,30,..,7.7,1.5,..,33.4,..,8.3,1.9,..,35.6,..,9.2,1.9,..,40.7,..,8.7,2.6,..,32.6,..,8.1,1.7,..,..,..,..,..,..
Algeria,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,72.594,55.927,..,10.346,..,72.084,61.292,..,12.188,..,78.7,65.719,..,13.535,..,84.141,74.844,..,14.493,..,88.979,98.476,..,15.311,..,92.3,104,..,23,..,93,105,..,23,..,94,106,..,23,..,161,169,..,249,..,107.2,55.4,..,52.9,..,35.7,18.4,..,10.1,..,..,..,..,..,..
Anguilla,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua And Barbuda,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,96.9,460.7,209.7,..,227.3,90.3,452.7,210.9,..,236,95.5,461.4,217.6,..,228,82.5,495.1,233,..,251.1,79.6,475.8,217.7,..,240.8,..,..,..,..,..,89.04982074,485.4625953,204.9866397,29.51837071,437.187069,88.99451054,505.3788183,206.8292907,30.4846146,442.1912802,88.47708225,518.0782031,195.6876868,31.12765144,437.7868443,92.20667702,509.4210731,185.6433491,29.90937259,442.4404337,..,..,..,..,..,..,..,..,..,..
Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,73,167.7,55.6,31.1,187.7,72.2,173.8,56.4,31.2,192.6,77.4,176.1,63.4,39.2,191.6,78.5,182.3,61.1,38.2,193.2,79.5,165.6,61.9,38,198.4,84.2,181.4,62,40.4,207.6,83.5,191.3,62.6,38.3,217.4,84.4,202.4,64.5,41.9,221.5,85.6,212.7,69.1,43.7,240.5,83.4,216.1,73.2,45,256.5,74.7,205.8,71.1,42.6,242.1,62.7,198.4,56,31.3,158.5
Austria,58.7,87.1,52.8,30.2,24.1,58.4,88.3,54.7,30.6,22,61.6,95.3,53.4,31.6,20.1,63.8,99.1,54.1,32.8,20.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,130.6,..,34.5,11.5,22.7,134.7,..,35.7,11.9,23.4,102.5,..,12.1,10.8,12.3,..,..,..,..,..
Azerbaijan,6.021,..,..,1.418,29.4,6.198,..,..,1.541,29.9,7.321,..,..,1.73,29.8,8.259,..,..,1.729,30.8,9,..,..,1.8,31,8.364,..,..,1.586,39.499,9.838,..,..,1.838,31.801,10.015,..,..,1.891,34.931,11,..,..,2.074,40.1,12,..,..,2.2,44.8,10.7,..,..,1.464,36.8,..,..,..,..,..
Bahamas,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,..,..,..,..,..,..,..,..,..,..,11,2,1,2,2,13,2,1,2,1,14,2,1,3,1,15,3,1,3,1,15,2,..,2,1,12,40,4,4,4,15,47,4,4,3,14,51,5,2,4,8,45,4,2,9,10,46,7,2,5
Bangladesh,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Barbados,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,8,..,..,3.7,..,8.9,..,..,3.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,15.737,69.84,39.144,6.721,2.934,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belize,5.9,..,..,..,..,5.9,..,..,..,..,6.5,..,0.6,0.8,7.6,7.3,..,1,0.8,9.8,12.5,..,1.8,2.6,2.3,8.792,5.115,1.819,1.5,2.39,9.414,5.655,1.827,1.901,2.073,9.859,6.27,1.845,2.085,2.031,9.946,6.901,1.867,2.221,2.088,9.947,7.24,1.853,2.428,2.077,7.885,5.266,1.038,2.045,0.942,7.9,5,0.1,1.7,1
Benin,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bolivia, Plurinational State Of",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bonaire,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bosnia And Herzegovina,..,..,..,..,..,5.3,15.3,..,7,..,5.3,14.3,..,7,..,5.3,15.8,..,0.7,..,5.4,18.1,..,0.7,..,5.3,18.6,..,0.7,..,5.9,29.2,..,0.8,..,6.9,31.5,..,1,..,7.4,32.9,..,1.1,..,7.8,34.1,..,1.2,..,6.5,32.1,..,1,..,6.241,31.798,..,0.842,..
Botswana,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,288.9,1086.4,449.3,96,74.8,298.1,1111,470.2,102.6,70.7,301.9,1119,468.9,102,67.9,318.8,1009.7,443.4,98.3,68.7,340.2,1085.9,447.3,96.3,75.4,340.4,1132.5,433.7,90.6,77.7,318.5,1201,436.8,91.3,81.9,312.628,1216.988,423.108,91.37,83.947,316.682,1267.526,414.175,94.771,89.788,318.6,1275.2,420.9,92.9,84.6,..,..,..,..,..,..,..,..,..,..
British Virgin Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.9,..,..,0.6,..,2,..,..,0.7,..,2.1,..,..,0.7,..,2.2,..,..,0.7,..,2.2,..,..,0.8,..,2.2,..,..,0.8,..,2.3,..,..,0.9,..,2.2,..,..,0.9,..,..,..,..,..,..
Bulgaria,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Burkina Faso,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Burundi,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cabo Verde,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cambodia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
