Country,Personal (2010),Business and Professional (2010),Personal (2011),Business and Professional (2011),Personal (2012),Business and Professional (2012),Personal (2013),Business and Professional (2013),Personal (2014),Business and Professional (2014),Personal (2015),Business and Professional (2015),Personal (2016),Business and Professional (2016),Personal (2017),Business and Professional (2017),Personal (2018),Business and Professional (2018),Personal (2019),Business and Professional (2019),Personal (2020),Business and Professional (2020),Personal (2021),Business and Professional (2021)
Afghanistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,2370,47,2889,43,3472,42,3206,50,3624.4,48.2,4089.2,42.1,4676.8,58.7,5049.5,68.5,5839.6,87.2,6304.8,101.2,2542.5,115.3,5588.4,100.2
Algeria,377,278,630,272,702,280,672,292,611.6,328.6,723,360,942.3,380.4,1470,238,1837.7,181.1,1775.7,158.1,474.5,35.6,21.6,45.4
American Samoa,17.226,5.873,17.182,5.414,17.069,5.51,16.6,4.2,17.5,4.1,16.3,4,16.6,3.5,16.8,3.2,16.64,3.548,..,..,..,..,..,..
Andorra,7959,592,7896,87,7814,86,7569,107,7680,117,7677.7,172.7,7880.8,144.5,8021.7,130.4,8153.4,174.9,8045.6,189.4,4886.9,319.7,5246.4,176.1
Angola,313,112,246,235,289,239,386,264,360,235,320,272.4,290.8,106.6,187.3,73.6,167.2,50.7,168,49.5,57.3,6.3,..,..
Anguilla,114.5,3.9,120.6,3,126.6,2.8,148.4,2.9,173.6,3.1,182,4,171,5,148,3,84.2,3.1,163,3.3,40.3,0.8,..,..
Antigua And Barbuda,225,5,234,7,..,..,..,..,240.4,8.8,241,9,258.1,7.1,240,7.3,258.4,10.6,285.7,15.3,118.6,6.4,163.4,6
Argentina,2203.459,493.971,2243.116,508.523,2172.98,450.345,1956.781,476.435,2010.142,511.205,1826.766,525.263,1837.371,477.3,1872.651,559.719,2017.409,662.196,2332,588,560,74,153.7,21.2
Armenia,453,230,523,235,631,332,672,412,776,428,770,422,857.8,401.8,1137.5,357.3,1200.9,450.9,1593.4,301,318.9,56.3,..,..
Aruba,800,24,816,53,856,48,924,55,1015,57,1162.2,62.8,1042,60,1008.7,61.8,1022.5,59.4,1070.9,48,348.9,19.4,772.4,34.3
Australia,4431,1360,4351,1420,4577,1455,5038.3,1443.4,5435.4,1486.4,5869.6,1579.7,6670.3,1598.5,7071.7,1743.6,7440.1,1805.5,7624.3,1841.5,1421.8,405.9,192.3,54
Austria,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Azerbaijan,1415,548,1647,592,1889,595,1860,649,1627.4,670.4,1373.9,632.3,1557.1,691.7,1862.3,834.4,2062.2,787.4,2319.9,850.5,618.2,177.5,595.1,196.7
