Countries,Total arrivals(in thousands) 2020,Longitude,Latitude
AFGHANISTAN,..,69.2075,34.5553
ALBANIA,2658,19.8189,41.3275
ALGERIA,591,3.0588,36.7538
AMERICAN SAMOA,..,-170.6919,-14.2846
ANDORRA,5207,1.5218,42.5063
ANGOLA,..,13.2344,-8.8383
ANGUILLA,41,-63.0481,18.2206
ANTIGUA AND BARBUDA,276,-61.8456,17.1175
ARGENTINA,3096,-58.4173,-34.6118
ARMENIA,..,44.5090,40.1596
ARUBA,368,-70.0341,12.5211
AUSTRALIA,1828,149.1281,-35.2820
AUSTRIA,..,16.3738,48.2082
AZERBAIJAN,796,49.8671,40.3848
BAHAMAS,1795,-77.3431,25.0343
BAHRAIN,1909,50.5577,26.0667
BANGLADESH,..,90.4125,23.8103
BARBADOS,546,-59.6168,13.1939
BELARUS,3598,27.5615,53.9045
BELGIUM,..,4.3517,50.8503
BELIZE,487,-88.1901,17.4977
BENIN,354,2.3158,6.5244
BERMUDA,51,-64.7546,32.3078
BHUTAN,..,89.1338,27.5142
BOLIVIA,..,-68.1193,-16.5000
BONAIRE,..,-68.2788,12.2019
BOSNIA AND HERZEGOVINA,..,18.4131,43.8563
BOTSWANA,358,25.9231,-24.6282
BRAZIL,..,-47.9292,-15.7801
BRITISH VIRGIN ISLANDS,..,-64.4715,18.4207
BRUNEI DARUSSALAM,1071,114.9481,4.9410
BULGARIA,4973,23.3219,42.6977
BURKINA FASO,..,-1.5277,12.6392
BURUNDI,..,29.9189,-3.3731
CABO VERDE,..,-23.4842,15.1201
CAMBODIA,..,104.9909,12.5657
CAMEROON,..,11.5170,3.8480
CANADA,5068,-75.6972,45.4215
CAYMAN ISLANDS,660,-81.2540,19.3133
CENTRAL AFRICAN REPUBLIC,..,21.6471,6.6111
CHAD,..,15.0445,12.1048
CHILE,1311,-70.6483,-33.4489
CHINA,30402,116.4074,39.9042
COLOMBIA,1396,-74.0721,4.7100
COMOROS,..,43.2770,-11.6455
CONGO,..,15.8277,-0.2280
CONGO, DEMOCRATIC REPUBLIC OF THE,..,15.2663,-4.4419
COOK ISLANDS,..,-159.7763,-21.2367
COSTA RICA,1147,-84.0918,9.9281
COTE D´IVOIRE,668,-4.0300,5.3599
CROATIA,21608,15.9819,45.8150
CUBA,1086,-82.3666,23.1136
CURAÇAO,436,-68.9722,12.1696
CYPRUS,..,33.4299,35.1264
CZECH REPUBLIC (CZECHIA),10267,14.4378,50.0755
DENMARK,15595,9.5018,56.2639
DJIBOUTI,..,43.1456,11.6090
DOMINICA,140,-61.3710,15.4149
DOMINICAN REPUBLIC,2748,-70.1627,18.7357
ECUADOR,507,-78.4678,-1.8312
EGYPT,3677,31.2357,30.0444
EL SALVADOR,707,-88.8965,13.7942
EQUATORIAL GUINEA,..,8.7815,3.8480
ERITREA,..,38.7578,15.1794
ESTONIA,1695,24.7536,58.5953
ESWATINI,345,31.4659,-26.5225
ETHIOPIA,..,38.7468,9.1450
FIJI,168,178.0650,-17.7134
FINLAND,..,25.7482,61.9241
FRANCE,117109,2.3522,48.8566
FRENCH GUIANA,..,-52.3146,4.9225
FRENCH POLYNESIA,89,-149.4068,-17.6797
GABON,..,9.4496,-0.8037
GAMBIA,..,-16.6810,13.4432
GEORGIA,1513,44.7930,41.7178
GERMANY,..,13.4050,52.5200
GHANA,..,-0.186964,7.2500
GREECE,7406,23.7275,37.9838
GRENADA,217,-61.7168,12.1165
GUADELOUPE,..,-61.6249,16.2650
GUAM,..,144.7937,13.4443
GUATEMALA,594,-90.5069,14.6349
GUINEA,..,-13.6785,9.9456
GUINEA-BISSAU,..,-15.1804,11.8037
GUYANA,87,-58.1629,4.8604
HAITI,322,-72.2852,18.9712
HONDURAS,669,-87.2220,15.2000
HONG KONG, CHINA,3569,114.1694,22.3193
HUNGARY,31641,19.0402,47.4979
ICELAND,488,-21.9426,64.1265
INDIA,..,77.2090,28.6139
INDONESIA,4053,106.8650,-6.2088
